000:07:14.342,Info,Arena,2,Enter_Zone,1
000:07:15.571,Info,Arena,1,Exit_Zone,2
000:07:15.571,Info,Arena,1,Enter_Zone,4
000:07:17.071,Info,Arena,1,Exit_Zone,4
000:07:17.071,Info,Arena,1,Enter_Zone,3
000:07:21.937,Info,Arena,2,Exit_Zone,1
000:07:21.937,Info,Arena,2,Enter_Zone,4
000:07:23.937,Info,Arena,2,Exit_Zone,4
000:07:23.937,Info,Arena,2,Enter_Zone,2
000:07:34.838,Info,Arena,2,Exit_Zone,2
000:07:34.838,Info,Arena,2,Enter_Zone,4
000:07:37.467,Info,Arena,2,Exit_Zone,4
000:07:37.467,Info,Arena,2,Enter_Zone,1
000:07:44.700,Info,Arena,1,Exit_Zone,3
000:07:44.700,Info,Arena,1,Enter_Zone,4
000:07:45.565,Info,Arena,1,Exit_Zone,4
000:07:45.565,Info,Arena,1,Enter_Zone,1
000:07:46.932,Info,Arena,2,Exit_Zone,1
000:07:46.932,Info,Arena,2,Enter_Zone,4
000:07:48.169,Info,Arena,2,Exit_Zone,4
000:07:48.169,Info,Arena,2,Enter_Zone,3
000:07:50.800,Info,Arena,1,Exit_Zone,1
000:07:50.800,Info,Arena,1,Enter_Zone,4
000:07:51.731,Info,Arena,1,Exit_Zone,4
000:07:51.731,Info,Arena,1,Enter_Zone,3
000:07:59.896,Info,Arena,1,Exit_Zone,3
000:07:59.896,Info,Arena,1,Enter_Zone,4
000:08:00.797,Info,Arena,1,Exit_Zone,4
000:08:00.797,Info,Arena,1,Enter_Zone,1
000:08:06.999,Info,Arena,1,Exit_Zone,1
000:08:06.999,Info,Arena,1,Enter_Zone,4
000:08:07.861,Info,Arena,1,Exit_Zone,4
000:08:07.861,Info,Arena,1,Enter_Zone,3
000:08:07.999,Info,Arena,2,Exit_Zone,3
000:08:07.999,Info,Arena,2,Enter_Zone,4
000:08:09.894,Info,Arena,2,Exit_Zone,4
000:08:09.894,Info,Arena,2,Enter_Zone,1
000:08:20.425,Info,Arena,2,Exit_Zone,1
000:08:20.425,Info,Arena,2,Enter_Zone,4
000:08:20.525,Info,Arena,2,Exit_Zone,4
000:08:20.525,Info,Arena,2,Enter_Zone,1
000:08:20.558,Info,Arena,2,Exit_Zone,1
000:08:20.558,Info,Arena,2,Enter_Zone,4
000:08:22.091,Info,Arena,1,Exit_Zone,3
000:08:22.091,Info,Arena,1,Enter_Zone,4
000:08:22.662,Info,Arena,2,Exit_Zone,4
000:08:22.662,Info,Arena,2,Enter_Zone,2
000:08:23.525,Info,Arena,1,Exit_Zone,4
000:08:23.525,Info,Arena,1,Enter_Zone,1
000:08:30.160,Info,Arena,1,Exit_Zone,1
000:08:30.160,Info,Arena,1,Enter_Zone,4
000:08:30.856,Info,Arena,2,Exit_Zone,2
000:08:30.856,Info,Arena,2,Enter_Zone,4
000:08:31.391,Info,Arena,1,Exit_Zone,4
000:08:31.391,Info,Arena,1,Enter_Zone,1
000:08:32.023,Info,Arena,2,Exit_Zone,4
000:08:32.023,Info,Arena,2,Enter_Zone,3
000:08:34.056,Info,Arena,1,Exit_Zone,1
000:08:34.056,Info,Arena,1,Enter_Zone,4
000:08:34.922,Info,Arena,1,Exit_Zone,4
000:08:34.922,Info,Arena,1,Enter_Zone,2
000:08:36.190,Info,Arena,1,Exit_Zone,2
000:08:36.190,Info,Arena,1,Enter_Zone,4
000:08:37.827,Info,Arena,1,Exit_Zone,4
000:08:37.827,Info,Arena,1,Enter_Zone,3
000:08:46.553,Info,Arena,1,Exit_Zone,3
000:08:46.553,Info,Arena,1,Enter_Zone,4
000:08:47.823,Info,Arena,1,Exit_Zone,4
000:08:47.823,Info,Arena,1,Enter_Zone,2
000:08:53.552,Info,Arena,2,Exit_Zone,3
000:08:53.552,Info,Arena,2,Enter_Zone,4
000:08:54.420,Info,Arena,2,Exit_Zone,4
000:08:54.420,Info,Arena,2,Enter_Zone,1
000:08:56.684,Info,Arena,1,Exit_Zone,2
000:08:56.684,Info,Arena,1,Enter_Zone,4
000:08:57.718,Info,Arena,1,Exit_Zone,4
000:08:57.718,Info,Arena,1,Enter_Zone,3
000:09:03.654,Info,Arena,1,Exit_Zone,3
000:09:03.654,Info,Arena,1,Enter_Zone,4
000:09:05.050,Info,Arena,1,Exit_Zone,4
000:09:05.050,Info,Arena,1,Enter_Zone,1
000:09:12.819,Info,Arena,1,Exit_Zone,1
000:09:12.819,Info,Arena,1,Enter_Zone,4
000:09:13.948,Info,Arena,1,Exit_Zone,4
000:09:13.948,Info,Arena,1,Enter_Zone,2
000:09:16.447,Info,Arena,2,Exit_Zone,1
000:09:16.447,Info,Arena,2,Enter_Zone,4
000:09:17.880,Info,Arena,2,Exit_Zone,4
000:09:17.880,Info,Arena,2,Enter_Zone,3
000:09:17.986,Info,Arena,2,Exit_Zone,3
