000:01:17.357,Info,Arena,2,Enter_Zone,4
000:01:17.823,Info,Arena,2,Exit_Zone,4
000:01:17.823,Info,Arena,2,Enter_Zone,3
000:01:19.657,Info,Arena,2,Exit_Zone,3
000:01:19.657,Info,Arena,2,Enter_Zone,4
000:01:20.057,Info,Arena,2,Exit_Zone,4
000:01:20.057,Info,Arena,2,Enter_Zone,3
000:01:24.222,Info,Arena,1,Exit_Zone,1
000:01:24.222,Info,Arena,1,Enter_Zone,4
000:01:24.389,Info,Arena,1,Exit_Zone,4
000:01:24.389,Info,Arena,1,Enter_Zone,2
000:01:25.388,Info,Arena,2,Exit_Zone,3
000:01:25.388,Info,Arena,2,Enter_Zone,4
000:01:25.888,Info,Arena,2,Exit_Zone,4
000:01:25.888,Info,Arena,2,Enter_Zone,1
000:01:27.721,Info,Arena,2,Exit_Zone,1
000:01:27.721,Info,Arena,2,Enter_Zone,4
000:01:28.221,Info,Arena,2,Exit_Zone,4
000:01:28.221,Info,Arena,2,Enter_Zone,3
000:01:30.687,Info,Arena,1,Exit_Zone,2
000:01:30.687,Info,Arena,1,Enter_Zone,4
000:01:30.687,Info,Arena,2,Exit_Zone,3
000:01:30.687,Info,Arena,2,Enter_Zone,4
000:01:31.287,Info,Arena,2,Exit_Zone,4
000:01:31.287,Info,Arena,2,Enter_Zone,1
000:01:31.321,Info,Arena,1,Exit_Zone,4
000:01:31.321,Info,Arena,1,Enter_Zone,1
000:01:31.720,Info,Arena,1,Exit_Zone,1
000:01:31.720,Info,Arena,1,Enter_Zone,4
000:01:31.820,Info,Arena,2,Exit_Zone,1
000:01:31.820,Info,Arena,2,Enter_Zone,4
000:01:32.320,Info,Arena,2,Exit_Zone,4
000:01:32.320,Info,Arena,2,Enter_Zone,3
000:01:32.887,Info,Arena,1,Exit_Zone,4
000:01:32.887,Info,Arena,1,Enter_Zone,3
000:01:35.854,Info,Arena,1,Exit_Zone,3
000:01:35.854,Info,Arena,1,Enter_Zone,4
000:01:36.320,Info,Arena,1,Exit_Zone,4
000:01:36.320,Info,Arena,1,Enter_Zone,1
000:01:36.854,Info,Arena,2,Exit_Zone,3
000:01:36.854,Info,Arena,2,Enter_Zone,4
000:01:37.756,Info,Arena,2,Exit_Zone,4
000:01:37.756,Info,Arena,2,Enter_Zone,1
000:01:49.150,Info,Arena,1,Exit_Zone,1
000:01:49.150,Info,Arena,1,Enter_Zone,4
000:01:49.317,Info,Arena,2,Exit_Zone,1
000:01:49.317,Info,Arena,2,Enter_Zone,4
000:01:49.950,Info,Arena,2,Exit_Zone,4
000:01:49.950,Info,Arena,2,Enter_Zone,1
000:01:51.421,Info,Arena,1,Exit_Zone,4
000:01:51.421,Info,Arena,1,Enter_Zone,1
000:01:51.651,Info,Arena,1,Exit_Zone,1
000:01:51.651,Info,Arena,1,Enter_Zone,4
000:01:53.383,Info,Arena,1,Exit_Zone,4
000:01:53.383,Info,Arena,1,Enter_Zone,1
000:01:56.982,Info,Arena,2,Exit_Zone,1
000:01:56.982,Info,Arena,2,Enter_Zone,4
000:01:57.419,Info,Arena,2,Exit_Zone,4
000:01:57.419,Info,Arena,2,Enter_Zone,3
000:01:58.715,Info,Arena,2,Exit_Zone,3
000:01:58.715,Info,Arena,2,Enter_Zone,4
000:02:00.348,Info,Arena,2,Exit_Zone,4
000:02:00.348,Info,Arena,2,Enter_Zone,1
000:02:01.381,Info,Arena,1,Exit_Zone,1
000:02:01.381,Info,Arena,1,Enter_Zone,4
000:02:01.948,Info,Arena,1,Exit_Zone,4
000:02:01.948,Info,Arena,1,Enter_Zone,1
000:02:08.680,Info,Arena,2,Exit_Zone,1
000:02:08.680,Info,Arena,2,Enter_Zone,4
000:02:09.280,Info,Arena,2,Exit_Zone,4
000:02:09.280,Info,Arena,2,Enter_Zone,3
000:02:15.979,Info,Arena,1,Exit_Zone,1
000:02:15.979,Info,Arena,1,Enter_Zone,4
000:02:16.112,Info,Arena,2,Exit_Zone,3
