0,Info,21/8/22 5:38,Service 'ymaze_inLT' : Execution start,,
119.888,Info,Arena,1,Enter_Zone,4
120.055,Info,Arena,1,Exit_Zone,4
120.055,Info,Arena,1,Enter_Zone,1
120.222,Info,Arena,3,Exit_Zone,1
120.222,Info,Arena,3,Enter_Zone,4
120.521,Info,Arena,3,Exit_Zone,4
120.521,Info,Arena,3,Enter_Zone,3
124.888,Info,Arena,1,Exit_Zone,1
124.888,Info,Arena,1,Enter_Zone,4
125.054,Info,Arena,1,Exit_Zone,4
125.054,Info,Arena,1,Enter_Zone,1
126.054,Info,Arena,2,Exit_Zone,2
126.054,Info,Arena,2,Enter_Zone,4
126.388,Info,Arena,2,Exit_Zone,4
126.388,Info,Arena,2,Enter_Zone,1
128.354,Info,Arena,2,Exit_Zone,1
128.354,Info,Arena,2,Enter_Zone,4
128.921,Info,Arena,2,Exit_Zone,4
128.921,Info,Arena,2,Enter_Zone,2
132.321,Info,Arena,1,Exit_Zone,1
132.321,Info,Arena,1,Enter_Zone,4
132.554,Info,Arena,1,Exit_Zone,4
132.554,Info,Arena,1,Enter_Zone,2
135.354,Info,Arena,2,Exit_Zone,2
135.354,Info,Arena,2,Enter_Zone,4
135.687,Info,Arena,2,Exit_Zone,4
135.687,Info,Arena,2,Enter_Zone,1
137.853,Info,Arena,2,Exit_Zone,1
137.853,Info,Arena,2,Enter_Zone,4
138.153,Info,Arena,2,Exit_Zone,4
138.153,Info,Arena,2,Enter_Zone,3
141.053,Info,Arena,2,Exit_Zone,3
141.053,Info,Arena,2,Enter_Zone,4
141.087,Info,Arena,2,Exit_Zone,4
141.087,Info,Arena,2,Enter_Zone,2
141.486,Info,Arena,1,Exit_Zone,2
141.486,Info,Arena,1,Enter_Zone,4
141.586,Info,Arena,1,Exit_Zone,4
141.586,Info,Arena,1,Enter_Zone,1
146.253,Info,Arena,1,Exit_Zone,1
146.253,Info,Arena,1,Enter_Zone,4
146.519,Info,Arena,1,Exit_Zone,4
146.519,Info,Arena,1,Enter_Zone,3
152.286,Info,Arena,1,Exit_Zone,3
152.286,Info,Arena,1,Enter_Zone,4
152.852,Info,Arena,3,Exit_Zone,3
152.852,Info,Arena,3,Enter_Zone,4
153.019,Info,Arena,1,Exit_Zone,4
153.019,Info,Arena,1,Enter_Zone,1
153.119,Info,Arena,3,Exit_Zone,4
153.119,Info,Arena,3,Enter_Zone,1
156.019,Info,Arena,1,Exit_Zone,1
156.019,Info,Arena,1,Enter_Zone,4
156.485,Info,Arena,1,Exit_Zone,4
156.485,Info,Arena,1,Enter_Zone,3
157.885,Info,Arena,2,Exit_Zone,2
157.885,Info,Arena,2,Enter_Zone,3
160.352,Info,Arena,1,Exit_Zone,3
160.352,Info,Arena,1,Enter_Zone,4
160.685,Info,Arena,1,Exit_Zone,4
160.685,Info,Arena,1,Enter_Zone,2
163.285,Info,Arena,2,Exit_Zone,3
163.285,Info,Arena,2,Enter_Zone,4
163.585,Info,Arena,1,Exit_Zone,2
163.585,Info,Arena,1,Enter_Zone,4
164.018,Info,Arena,2,Exit_Zone,4
164.018,Info,Arena,2,Enter_Zone,1
164.118,Info,Arena,1,Exit_Zone,4
164.118,Info,Arena,1,Enter_Zone,1
167.384,Info,Arena,1,Exit_Zone,1
167.384,Info,Arena,1,Enter_Zone,4
167.918,Info,Arena,1,Exit_Zone,4
167.918,Info,Arena,1,Enter_Zone,2
168.018,Info,Arena,1,Exit_Zone,2
168.018,Info,Arena,1,Enter_Zone,4
168.151,Info,Arena,1,Exit_Zone,4
168.151,Info,Arena,1,Enter_Zone,3
171.051,Info,Arena,1,Exit_Zone,3
171.051,Info,Arena,1,Enter_Zone,4
171.517,Info,Arena,1,Exit_Zone,4
171.517,Info,Arena,1,Enter_Zone,2
172.251,Info,Arena,2,Exit_Zone,1
172.251,Info,Arena,2,Enter_Zone,4
172.917,Info,Arena,2,Exit_Zone,4
172.917,Info,Arena,2,Enter_Zone,2
173.584,Info,Arena,3,Exit_Zone,1
173.584,Info,Arena,3,Enter_Zone,4
173.851,Info,Arena,3,Exit_Zone,4
173.851,Info,Arena,3,Enter_Zone,1
174.117,Info,Arena,3,Exit_Zone,1
174.117,Info,Arena,3,Enter_Zone,4
175.584,Info,Arena,3,Exit_Zone,4
175.584,Info,Arena,3,Enter_Zone,2
176.184,Info,Arena,1,Exit_Zone,2
176.184,Info,Arena,1,Enter_Zone,4
176.317,Info,Arena,1,Exit_Zone,4
176.317,Info,Arena,1,Enter_Zone,3
176.717,Info,Arena,2,Exit_Zone,2
176.717,Info,Arena,2,Enter_Zone,4
176.95,Info,Arena,2,Exit_Zone,4
176.95,Info,Arena,2,Enter_Zone,1
179.15,Info,Arena,1,Exit_Zone,3
179.15,Info,Arena,1,Enter_Zone,4
179.35,Info,Arena,1,Exit_Zone,4
179.35,Info,Arena,1,Enter_Zone,1
180.583,Info,Arena,3,Exit_Zone,2
180.583,Info,Arena,3,Enter_Zone,4
180.917,Info,Arena,2,Exit_Zone,1
180.917,Info,Arena,2,Enter_Zone,4
181.317,Info,Arena,3,Exit_Zone,4
181.317,Info,Arena,3,Enter_Zone,1
181.417,Info,Arena,2,Exit_Zone,4
181.417,Info,Arena,2,Enter_Zone,3
183.616,Info,Arena,1,Exit_Zone,1
183.616,Info,Arena,1,Enter_Zone,4
184.316,Info,Arena,1,Exit_Zone,4
184.316,Info,Arena,1,Enter_Zone,3
187.116,Info,Arena,3,Exit_Zone,1
187.116,Info,Arena,3,Enter_Zone,4
187.45,Info,Arena,1,Exit_Zone,3
187.45,Info,Arena,1,Enter_Zone,4
187.583,Info,Arena,2,Exit_Zone,3
187.583,Info,Arena,2,Enter_Zone,4
187.683,Info,Arena,2,Exit_Zone,4
187.683,Info,Arena,2,Enter_Zone,2
187.716,Info,Arena,1,Exit_Zone,4
187.716,Info,Arena,1,Enter_Zone,1
